Male~Fitness / Sports / Outdoors~>$1M~0%-25%~>$20M,2,0,0,0,0,0,0,0,0,0,0,0
Male~Food and Beverage~$0-$250k~0%-25%~<$1M,21,12,925000.0,3.54,3882713.0,5,3,1,0,2,3,0,925000.0,1.8,6250000.0
Male~Food and Beverage~$0-$250k~0%-25%~$1M-$10M,13,10,1080000.0,1.2,5890790.0,1,3,4,0,2,1,2,980000.0,0.65,15350000.0
Male~Food and Beverage~$0-$250k~25%-50%~<$1M,14,4,1200000.0,2.76,1788235.0,0,2,1,1,2,1,1,515000.0,1.05,2033333.0
Male~Food and Beverage~$0-$250k~>100%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Food and Beverage~$250k-$500k~0%-25%~$1M-$10M,14,7,1860000.0,1.82,8931905.0,2,4,1,0,1,1,1,2010000.0,0.9,17600000.0
Male~Food and Beverage~$250k-$500k~25%-50%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Food and Beverage~$500k-$750k~0%-25%~$1M-$10M,4,2,1200000.0,0.5,5000000.0,2,1,0,0,0,0,0,1200000.0,0.25,10000000.0
Male~Food and Beverage~$500k-$750k~0%-25%~$10M-20M,3,3,3000000.0,0.37,24561835.0,0,2,2,0,0,0,0,1500000.0,0.13,35000000.0
Male~Food and Beverage~$500k-$750k~0%-25%~>$20M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Food and Beverage~$500k-$750k~25%-50%~$1M-$10M,2,0,0,0,0,0,0,0,0,0,0,0
Male~Food and Beverage~>$1M~0%-25%~$1M-$10M,1,1,1000000.0,0.2,5000000.0,0,0,0,0,0,0,1,1000000.0,0.12,8333333.0
Male~Food and Beverage~>$1M~0%-25%~$10M-20M,4,1,2000000.0,0.03,66666667.0,0,0,1,0,0,0,1,2000000.0,0.13,16000000.0
Male~Food and Beverage~>$1M~0%-25%~>$20M,2,1,2500000.0,0.1,25000000.0,0,0,0,0,0,0,1,2500000.0,0.1,25000000.0
Male~Green/CleanTech~$0-$250k~0%-25%~<$1M,3,2,250000.0,0.45,1150000.0,0,1,0,0,0,0,0,250000.0,0.4,1250000.0
Male~Green/CleanTech~$0-$250k~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Green/CleanTech~$250k-$500k~0%-25%~$1M-$10M,2,2,700000.0,0.37,3852941.0,0,1,1,0,0,0,0,700000.0,0.17,8714286.0
Male~Green/CleanTech~$500k-$750k~25%-50%~$1M-$10M,1,1,600000.0,0.35,1714286.0,0,1,0,0,1,0,1,600000.0,0.25,2400000.0
Male~Green/CleanTech~>$1M~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Green/CleanTech~>$1M~0%-25%~$10M-20M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Healthcare~$0-$250k~0%-25%~<$1M,5,3,255000.0,1.21,677696.0,1,1,0,0,1,0,1,255000.0,0.55,1441667.0
Male~Healthcare~$0-$250k~0%-25%~$1M-$10M,1,1,200000.0,0.25,800000.0,0,0,1,0,0,0,0,200000.0,0.1,2000000.0
Male~Healthcare~$0-$250k~25%-50%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Healthcare~$250k-$500k~0%-25%~$1M-$10M,2,1,1000000.0,0.3,3333333.0,0,1,1,0,1,1,1,250000.0,0.1,2500000.0
Male~Healthcare~$500k-$750k~0%-25%~$1M-$10M,2,1,750000.0,0.3,2500000.0,0,1,0,0,0,1,1,500000.0,0.1,5000000.0
Male~Healthcare~$750k-$1M~0%-25%~$1M-$10M,1,1,800000.0,0.33,2400000.0,0,0,0,0,0,0,1,800000.0,0.1,8000000.0
Male~Healthcare~>$1M~0%-25%~$1M-$10M,1,0,0,0,0,0,0,0,0,0,0,0
Male~Healthcare~>$1M~0%-25%~>$20M,1,1,3000000.0,0.25,12000000.0,0,0,0,0,1,0,0,3000000.0,0.1,30000000.0
Male~Lifestyle / Home~$0-$250k~0%-25%~<$1M,18,9,1040000.0,2.07,6210606.0,0,0,4,0,2,2,1,735000.0,1.22,5308333.0
Male~Lifestyle / Home~$0-$250k~0%-25%~$1M-$10M,13,9,1575000.0,2.08,10575597.0,0,0,6,0,2,0,2,1450000.0,0.94,16333333.0
Male~Lifestyle / Home~$0-$250k~25%-50%~<$1M,8,6,825000.0,2.78,1782879.0,0,3,2,1,0,1,1,635000.0,1.83,2197879.0
Male~Lifestyle / Home~$0-$250k~50%-100%~<$1M,1,0,0,0,0,0,0,0,0,0,0,0
